"id"|"SPECIES"|"ADDRESS"|"SOURCE"
1|"Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  "|"China,Shaanxi,Fopin Xian,,核桃坪                                                                                                                                                                                                                              "|"brahms    "
2|"Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  "|"China,Shaanxi,Fopin Xian,,核桃坪                                                                                                                                                                                                                              "|"brahms    "
3|"Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  "|"China,Shaanxi,鄠县,,石义沟                                                                                                                                                                                                                                    "|"brahms    "
4|"Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  "|"China,Guizhou,Songtao Xian,,木耳溪至孟溪                                                                                                                                                                                                                      "|"brahms    "
5|"Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  "|"China,Guizhou,Anlong Xian,,龙山公社                                                                                                                                                                                                                           "|"brahms    "
6|"Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  "|"China,Guangxi,,,六巷乡村前                                                                                                                                                                                                                                    "|"brahms    "
7|"Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  "|"China,Guangxi,,,                                                                                                                                                                                                                                              "|"brahms    "
8|"Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  "|"China,Guangxi,Longsheng Xian,,二区平水乡桃善村红滩                                                                                                                                                                                                            "|"brahms    "
9|"Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  "|"China,Guangxi,,,                                                                                                                                                                                                                                              "|"brahms    "
10|"Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  "|"China,Hunan,Ningyuan Xian,,华白里                                                                                                                                                                                                                             "|"brahms    "
11|"Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  "|"China,Guangxi,凌乐县,,甘田公社山洲大队                                                                                                                                                                                                                        "|"brahms    "
12|"Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  "|"China,Guangxi,龙津县,,大青山敢门附近                                                                                                                                                                                                                          "|"brahms    "
13|"Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  "|"China,Guangxi,凌云县,,玉洪老山之东南                                                                                                                                                                                                                          "|"brahms    "
14|"Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  "|"China,Hunan,道县,,驷马桥公社楠竹坪大队                                                                                                                                                                                                                        "|"brahms    "
15|"Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  "|"China,Guangxi,Xing'an Xian,,两金区佑安乡                                                                                                                                                                                                                      "|"brahms    "
16|"Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  "|"China,Guangdong,和平县,,青州乡羊角区                                                                                                                                                                                                                          "|"brahms    "
17|"Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  "|"China,Guangdong,河源县,,蒲田区蒲田乡                                                                                                                                                                                                                          "|"brahms    "
18|"Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  "|"China,Hunan,Xinning Xian,,紫云山                                                                                                                                                                                                                              "|"brahms    "
19|"Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  "|"China,Hunan,洞口县,,那漆                                                                                                                                                                                                                                      "|"brahms    "
20|"Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  "|"China,Guangdong,平远县,,泗水乡育新社埧坳仔                                                                                                                                                                                                                    "|"brahms    "
21|"Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  "|"China,Guizhou,,,She-Won-San, Hsufeng                                                                                                                                                                                                                          "|"brahms    "
22|"Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  "|"China,Hunan,Ningyuan Xian,,九凝林场牛头江丰冲                                                                                                                                                                                                                 "|"brahms    "
23|"Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  "|"China,Hunan,江永县,,大田马家坪                                                                                                                                                                                                                                "|"brahms    "
24|"Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  "|"China,Guangxi,Damiaoshan,,三防公社罗洞大队                                                                                                                                                                                                                    "|"brahms    "
25|"Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  "|"China,Guangxi,凌乐县,,同乐公社第八大队                                                                                                                                                                                                                        "|"brahms    "
26|"Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  "|"China,Guangxi,Damiaoshan,,三防区池洞乡九万山文德下水汫                                                                                                                                                                                                        "|"brahms    "
27|"Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  "|"China,Guangdong,Lechang Xian,,坪石                                                                                                                                                                                                                            "|"brahms    "
28|"Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  "|"China,Guangxi,Guilin Shiqu,雁山,雁山广西植物所标本园                                                                                                                                                                                                          "|"brahms    "
29|"Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  "|"China,Guangxi,龙州县,,那曵呌咩山                                                                                                                                                                                                                              "|"brahms    "
30|"Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  "|"China,Guangxi,Lingui Xian,雁山,雁山附近                                                                                                                                                                                                                       "|"brahms    "
31|"Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  "|"China,Guangxi,Lingui Xian,雁山,雁山分所标本园                                                                                                                                                                                                                 "|"brahms    "
32|"Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  "|"China,Guangxi,Lingui Xian,雁山,雁山附近                                                                                                                                                                                                                       "|"brahms    "
33|"Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  "|"China,Guangxi,Longsheng Xian,,六区大地乡天平村红毛冲                                                                                                                                                                                                          "|"brahms    "
34|"Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  "|"China,Guangdong,蕉岭县,,南砂乡南砂社书声里林区                                                                                                                                                                                                                "|"brahms    "
35|"Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  "|"China,Hunan,城步县,,丁坪公社隘上老山                                                                                                                                                                                                                          "|"brahms    "
36|"Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  "|"China,Yunnan,屏边县,,Ping-pien Hsien                                                                                                                                                                                                                          "|"brahms    "
37|"Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  "|"China,Sichuan,Baoxing Xian,,                                                                                                                                                                                                                                  "|"brahms    "
38|"Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  "|"China,Fujian,南平市,,                                                                                                                                                                                                                                         "|"brahms    "
39|"Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  "|"China,Jiangxi,大余县,,内良公社附近                                                                                                                                                                                                                            "|"brahms    "
40|"Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  "|"China,Sichuan,峨眉县,峨眉山,四川峨眉县峨眉山万年寺附近                                                                                                                                                                                                        "|"brahms    "
41|"Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  "|"China,Zhejiang,建德,,                                                                                                                                                                                                                                         "|"brahms    "
42|"Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  "|"China,Zhejiang,寿昌县,,                                                                                                                                                                                                                                       "|"brahms    "
43|"Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  "|"China,Shaanxi,南郑县,,小坝东沟                                                                                                                                                                                                                                "|"brahms    "
44|"Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  "|"China,Henan,新县,,                                                                                                                                                                                                                                            "|"brahms    "
45|"Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  "|"China,Shaanxi,Mei Xian,,太白山蒿苹寺至烟家村药厂                                                                                                                                                                                                              "|"brahms    "
46|"Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  "|"China,,,,                                                                                                                                                                                                                                                     "|"brahms    "
47|"Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  "|"China,Yunnan,,,                                                                                                                                                                                                                                               "|"brahms    "
48|"Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  "|"China,Guangxi,隆林县,,德峨达毛村                                                                                                                                                                                                                              "|"brahms    "
49|"Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  "|"China,Guangdong,Ruyuan Xian,,管埠沙冲                                                                                                                                                                                                                         "|"brahms    "
50|"Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  "|"China,Guangdong,翁源县,,龙仙一园乡细水山黄竹岔山腰                                                                                                                                                                                                            "|"brahms    "
51|"Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  "|"China,Guangxi,武呜县,,小陆大明山                                                                                                                                                                                                                              "|"brahms    "
52|"Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  "|"China,Guangxi,,,岑五老山林场                                                                                                                                                                                                                                  "|"brahms    "
53|"Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  "|"China,Guangdong,茂名市,,大坡区格苍乡大岺岗                                                                                                                                                                                                                    "|"brahms    "
54|"Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  "|"China,Guangdong,阳春县,,圭岗百涌保护区百涌                                                                                                                                                                                                                    "|"brahms    "
55|"Cryptotaenia canadensis auct.non(L.) DC.                                                                                                                                                                                                                      "|"China,Jiangxi,Jinggangshan,,老井冈山地区                                                                                                                                                                                                                      "|"brahms    "
56|"Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  "|"China,Guangdong,Ruyuan Xian,,大桥                                                                                                                                                                                                                             "|"brahms    "
57|"Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  "|"China,Guangdong,Ruyuan Xian,,大桥                                                                                                                                                                                                                             "|"brahms    "
58|"Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  "|"China,Guizhou,,,Fan-Ching Shan,yinkiang                                                                                                                                                                                                                       "|"brahms    "
59|"Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  "|"China,Chongqing,Nanchuan Xian,,金佛山龙塘三坪草坪                                                                                                                                                                                                             "|"brahms    "
60|"Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  "|"China,Sichuan,Tianquan Xian,,二郎山                                                                                                                                                                                                                           "|"brahms    "
61|"Cryptotaenia canadensis auct.non(L.) DC.                                                                                                                                                                                                                      "|"USA,,,,Henrico Co.:RNBP.Chickahominy                                                                                                                                                                                                                          "|"brahms    "
62|"Cryptotaenia canadensis auct.non(L.) DC.                                                                                                                                                                                                                      "|"China,Guangdong,梅县市,,嘉应阴那山                                                                                                                                                                                                                            "|"brahms    "
63|"Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  "|"China,Guangdong,大埔县,,岩上乡民英社早子峯                                                                                                                                                                                                                    "|"brahms    "
64|"Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  "|"China,Guangdong,Ruyuan Xian,,五指山茶山林场                                                                                                                                                                                                                   "|"brahms    "
65|"Cryptotaenia canadensis auct.non(L.) DC.                                                                                                                                                                                                                      "|"USA,,,,New York,Greene County  SITE:W                                                                                                                                                                                                                         "|"brahms    "
66|"Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  "|"China,Guangdong,Ruyuan Xian,,乳阳林业局加工厂附近                                                                                                                                                                                                             "|"brahms    "
67|"Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  "|"China,Guangxi,平南县,,猺山罗香至龙军                                                                                                                                                                                                                          "|"brahms    "
68|"Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  "|"China,Guangxi,临桂县,,十一区允中乡小井振河山                                                                                                                                                                                                                  "|"brahms    "
69|"Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  "|"China,Chongqing,Nanchuan Xian,,金佛山凤凰寺干沟子                                                                                                                                                                                                             "|"brahms    "
70|"Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  "|"China,Sichuan,Emei Xian,Emei Shan,峨眉山九老洞                                                                                                                                                                                                                "|"brahms    "
71|"Cryptotaenia canadensis auct.non(L.) DC.                                                                                                                                                                                                                      "|"China,Sichuan,巫山县,,竹贡公社附近                                                                                                                                                                                                                            "|"brahms    "
72|"Cryptotaenia canadensis auct.non(L.) DC.                                                                                                                                                                                                                      "|"China,Sichuan,奉节县,,竹元桃树公社附近                                                                                                                                                                                                                        "|"brahms    "
73|"Cryptotaenia canadensis auct.non(L.) DC.                                                                                                                                                                                                                      "|"China,Jiangxi,,,宜兴桥汇附近                                                                                                                                                                                                                                  "|"brahms    "
