familyname | genusname
Zygophyllaceae | Augea
Zygophyllaceae | Balanites
Zygophyllaceae | Bulnesia
Zygophyllaceae | Fagonia
Zygophyllaceae | Guaiacum
Zygophyllaceae | Kallstroemia
Zygophyllaceae | Larrea
Zygophyllaceae | Malacocarpus
Zygophyllaceae | Metharme
Zygophyllaceae | Morkillia
Zygophyllaceae | Neoschroetera
Zygophyllaceae | Pintoa
Zygophyllaceae | Plectrocarpa
Zygophyllaceae | Porlieria
Zygophyllaceae | Sarcozygium
Zygophyllaceae | Seetzenia
Zygophyllaceae | Sericodes
Zygophyllaceae | Tetraena
Zygophyllaceae | Tribulus
Zygophyllaceae | Viscainoa
Zygophyllaceae | Zygophyllum
