familyname | genusname
Acanthaceae | Acanthopale
Acanthaceae | Acanthopsis
Acanthaceae | Acanthura
Acanthaceae | Acanthus
Acanthaceae | Achyrocalyx
Acanthaceae | Adhatoda
Acanthaceae | Aechmanthera
Acanthaceae | Afrofittonia
Acanthaceae | Ambongia
Acanthaceae | Ancistranthus
Acanthaceae | Andrographis
Acanthaceae | Angkalanthus
Acanthaceae | Anisacanthus
Acanthaceae | Anisosepalum
Acanthaceae | Anisostachya
Acanthaceae | Anisotes
Acanthaceae | Anomacanthus
Acanthaceae | Apassalus
Acanthaceae | Aphanosperma
Acanthaceae | Aphelandra
Acanthaceae | Aphelandrella
Acanthaceae | Ascotheca
Acanthaceae | Asystasia
Acanthaceae | Asystasiella
Acanthaceae | Avicennia
Acanthaceae | Ballochia
Acanthaceae | Baphicacanthus
Acanthaceae | Barleria
Acanthaceae | Barleriola
Acanthaceae | Beloperone
Acanthaceae | Benoicanthus
Acanthaceae | Blechum
Acanthaceae | Blepharis
Acanthaceae | Borneacanthus
Acanthaceae | Boutonia
Acanthaceae | Brachystephanus
Acanthaceae | Bravaisia
Acanthaceae | Brillantaisia
Acanthaceae | Brunoniella
Acanthaceae | Calacanthus
Acanthaceae | Calycacanthus
Acanthaceae | Camarotea
Acanthaceae | Carlowrightia
Acanthaceae | Celerina
Acanthaceae | Centrilla
Acanthaceae | Cephalacanthus
Acanthaceae | Chaetacanthus
Acanthaceae | Chalarothyrsus
Acanthaceae | Chamaeranthemum
Acanthaceae | Chileranthemum
Acanthaceae | Chlamydacanthus
Acanthaceae | Chlamydocardia
Acanthaceae | Chlamydostachya
Acanthaceae | Chorisochora
Acanthaceae | Chroesthes
Acanthaceae | Clarkeasia
Acanthaceae | Clinacanthus
Acanthaceae | Clistax
Acanthaceae | Codonacanthus
Acanthaceae | Conocalyx
Acanthaceae | Cosmianthemum
Acanthaceae | Crabbea
Acanthaceae | Crossandra
Acanthaceae | Crossandrella
Acanthaceae | Cuenotia
Acanthaceae | Cyclacanthus
Acanthaceae | Cynarospermum
Acanthaceae | Cyphacanthus
Acanthaceae | Danguya
Acanthaceae | Dasytropis
Acanthaceae | Dianthera
Acanthaceae | Dichazothece
Acanthaceae | Dicladanthera
Acanthaceae | Dicliptera
Acanthaceae | Dischistocalyx
Acanthaceae | Dolichostachys
Acanthaceae | Drejera
Acanthaceae | Duosperma
Acanthaceae | Dyschoriste
Acanthaceae | Ecbolium
Acanthaceae | Echinacanthus
Acanthaceae | Elytraria
