speciname | taxstat
Tetracera alnifolia Willd. | Accepted
Tetracera asperula Miq. | Accepted
Tetracera billardieri Martelli | Accepted
Tetracera costata Mart. ex Eichler | Accepted
Tetracera empedoclea Gilg | Accepted
Tetracera eriantha (Oliv.) Hutch. | Accepted
Tetracera hydrophila Triana & Planch. | Accepted
Tetracera indica (Christm. & Panz.) Merr. | Accepted
Tetracera loureiri (Finet & Gagnep.) Pierre ex Craib | Accepted
Tetracera madagascariensis Willd. ex Schltdl. | Accepted
Tetracera masuiana De Wild. & T.Durand | Accepted
Tetracera oblongata DC. | Accepted
Tetracera parviflora (Rusby) Sleumer | Accepted
Tetracera poggei Gilg | Accepted
Tetracera portobellensis Beurl. | Accepted
Tetracera potatoria Afzel. ex G.Don | Accepted
Tetracera rosiflora Gilg | Accepted
Tetracera rutenbergii Buchenau | Accepted
Tetracera sarmentosa (L.) Vahl | Accepted
Tetracera scandens (L.) Merr. | Accepted
Tetracera sellowiana Schltdl. | Accepted
Tetracera stuhlmanniana Gilg | Accepted
Tetracera surinamensis Miq. | Accepted
Tetracera tigarea DC. | Accepted
Tetracera volubilis L. | Accepted
Tetracera willdenowiana Steud. | Accepted
Tetracera xui H. Zhu & H. Wang | Accepted
Traxilisa aspera (Lour.) Raf. | Accepted
Dioncophyllum thollonii Baill. | Accepted
Habropetalum dawei (Hutch. & Dalziel) Airy Shaw | Accepted
Triphyophyllum peltatum (Hutch. & Dalziel) Airy Shaw | Accepted
Dioscorea abysmophila Maguire & Steyerm. | Accepted
Dioscorea abyssinica Hochst. ex Kunth | Accepted
Dioscorea acanthogene Rusby | Accepted
Dioscorea acerifolia Phil. | Accepted
Dioscorea acuminata Baker | Accepted
Dioscorea adenantha Uline | Accepted
Dioscorea aesculifolia R.Knuth | Accepted
Dioscorea aguilarii Standl. & Steyerm. | Accepted
Dioscorea alata L. | Accepted
Dioscorea alatipes Burkill & H.Perrier | Accepted
Dioscorea althaeoides R.Knuth | Accepted
Dioscorea altissima Lam. | Accepted
Dioscorea amaranthoides C.Presl | Accepted
Dioscorea amazonum Mart. ex Griseb. | Accepted
Dioscorea amoena R.Knuth | Accepted
Dioscorea analalavensis Jum. & H.Perrier | Accepted
Dioscorea ancachsensis R.Knuth | Accepted
Dioscorea andina Phil. | Accepted
Dioscorea andromedusae O.Téllez | Accepted
Dioscorea anomala Griseb. | Accepted
Dioscorea antaly Jum. & H.Perrier | Accepted
Dioscorea antucoana Uline ex R.Knuth | Accepted
Dioscorea arachidna Prain & Burkill | Accepted
Dioscorea araucana Phil. | Accepted
Dioscorea arcuatinervis Hochr. | Accepted
Dioscorea argyrogyna Uline ex R.Knuth | Accepted
Dioscorea arifolia C.Presl | Accepted
Dioscorea aristolochiifolia Poepp. | Accepted
Dioscorea arnensis R. Knuth | Accepted
Dioscorea asclepiadea Prain & Burkill | Accepted
Dioscorea aspera Humb. & Bonpl. ex Willd. | Accepted
Dioscorea aspersa Prain & Burkill | Accepted
Dioscorea asperula Pedralli | Accepted
Dioscorea asteriscus Burkill | Accepted
Dioscorea atrescens R.Knuth | Accepted
Dioscorea auriculata Poepp. | Accepted
Dioscorea bahiensis R.Knuth | Accepted
Dioscorea bako Wilkin | Accepted
Dioscorea balcanica Koanin | Accepted
Dioscorea bancana Prain & Burkill | Accepted
Dioscorea banzhuana S.J.Pei & C.T.Ting | Accepted
Dioscorea bartlettii C.V.Morton | Accepted
Dioscorea basiclavicaulis Rizzini & A.Mattos | Accepted
Dioscorea baya De Wild. | Accepted
Dioscorea beecheyi R.Knuth | Accepted
Dioscorea belophylla (Prain) Voigt ex Haines | Accepted
Dioscorea bemandry Jum. & H.Perrier | Accepted
Dioscorea bemarivensis Jum. & H.Perrier | Accepted
Dioscorea benthamii Prain & Burkill | Accepted
Dioscorea berenicea McVaugh | Accepted
Dioscorea bermejensis R.Knuth | Accepted
Dioscorea bernoulliana Prain & Burkill | Accepted
Dioscorea besseriana Kunth | Accepted
Dioscorea beyrichii R.Knuth | Accepted
Dioscorea bicolor Prain & Burkill | Accepted
Dioscorea biformifolia S.J.Pei & C.T.Ting | Accepted
Dioscorea biloba (Phil.) Caddick & Wilkin | Accepted
Dioscorea biplicata R.Knuth | Accepted
Dioscorea birmanica Prain & Burkill | Accepted
Dioscorea birschelii Harms ex R.Knuth | Accepted
Dioscorea blumei Prain & Burkill | Accepted
Dioscorea bolivarensis Steyerm. | Accepted
Dioscorea bonii Prain & Burkill | Accepted
Dioscorea bosseri Haigh & Wilkin | Accepted
Dioscorea brachybotrya Poepp. | Accepted
Dioscorea brachystachya Phil. | Accepted
Dioscorea bradei R.Knuth | Accepted
Dioscorea brandisii Prain & Burkill | Accepted
Dioscorea brevipetiolata Prain & Burkill | Accepted
Dioscorea bridgesii Griseb. ex Kunth | Accepted
