familyid | latinname | namezh | lowertaxa | focvolume
10002 | Acanthaceae | 爵床科 | 35 | FOC Vol. 19
10005 | Aceraceae | 槭树科 | 2 | FOC Vol. 11
20008 | Acoraceae | 菖蒲科 | 1 | FOC Vol. 23
10011 | Actinidiaceae | 猕猴桃科 | 3 | FOC Vol. 12
10015 | Adoxaceae | 五福花科 | 4 | FOC Vol. 19
10020 | Aizoaceae | 番杏科 | 3 | FOC Vol.  5
10022 | Alangiaceae | 八角枫科 | 1 | FOC Vol. 13
10025 | Alismataceae | 泽泻科 | 6 | FOC Vol. 23
10031 | Amaranthaceae | 苋科 | 15 | FOC Vol.  5
10032 | Amaryllidaceae | 石蒜科 | 10 | FOC Vol. 24
10038 | Anacardiaceae | 漆树科 | 22 | FOC Vol. 11
10039 | Ancistrocladaceae | 钩枝藤科 | 1 | FOC Vol. 13
10047 | Annonaceae | 番荔枝科 | 24 | FOC Vol. 19
10052 | Apiaceae | 伞形科 | 102 | FOC Vol. 14
10053 | Apocynaceae | 夹竹桃科 | 44 | FOC Vol. 16
10054 | Aponogetonaceae | 水蕹科 | 1 | FOC Vol. 23
10055 | Aquifoliaceae | 冬青科 | 1 | FOC Vol. 11
10056 | Araceae | 天南星科 | 38 | FOC Vol. 23
10058 | Araliaceae | 五加科 | 23 | FOC Vol. 13
10059 | Araucariaceae | 南洋杉科 | 2 | FOC Vol.  4
10061 | Arecaceae | 棕榈科 | 18 | FOC Vol. 23
10063 | Aristolochiaceae | 马兜铃科 | 4 | FOC Vol.  5
10066 | Asclepiadaceae | 萝藦科 | 44 | FOC Vol. 16
10074 | Asteraceae | 菊科 | 276 | FOC Vol. 20-21
20038 | Aucubaceae | 桃叶珊瑚科 | 1 | FOC Vol. 14
10089 | Balanophoraceae | 蛇菰科 | 2 | FOC Vol.  5
10092 | Balsaminaceae | 凤仙花科 | 2 | FOC Vol. 12
10096 | Basellaceae | 落葵科 | 2 | FOC Vol.  5
10099 | Begoniaceae | 秋海棠科 | 1 | FOC Vol. 13
10100 | Berberidaceae | 小檗科 | 11 | FOC Vol. 19
10101 | Betulaceae | 桦木科 | 6 | FOC Vol.  4
20048 | Biebersteiniaceae | 熏倒牛科 | 1 | FOC Vol. 11
