familyid | genusid | latinname | namezh | lowertaxa
10072 | 102877 | Asplenium | 铁角蕨属 | 89
10072 | 116074 | Hymenasplenium | 膜叶铁角蕨属 | 18
10078 | 101818 | Anisocampium | 安蕨属 | 4
10078 | 103074 | Athyrium | 蹄盖蕨属 | 123
10078 | 108037 | Cornopteris | 角蕨属 | 12
10078 | 109640 | Deparia | 对囊蕨属 | 53
10078 | 110366 | Diplazium | 双盖蕨属 | 86
10108 | 104056 | Blechnidium | 乌木蕨属 | 1
10108 | 104058 | Blechnum | 乌毛蕨属 | 1
10108 | 104517 | Brainea | 苏铁蕨属 | 1
10108 | 106657 | Chieniopteris | 崇澍蕨属 | 2
10108 | 110377 | Diploblechnum | 扫把蕨属 | 1
10108 | 131365 | Stenochlaena | 光叶藤蕨属 | 1
10108 | 131798 | Struthiopteris | 荚囊蕨属 | 2
10108 | 134976 | Woodwardia | 狗脊属 | 5
20904 | 107061 | Cibotium | 金毛狗蕨属 | 2
10240 | 101210 | Alsophila | 桫椤属 | 12
10240 | 130914 | Sphaeropteris | 白桫椤属 | 2
20903 | 100490 | Acystopteris | 亮毛蕨属 | 3
20903 | 109119 | Cystoathyrium | 光叶蕨属 | 1
20903 | 109134 | Cystopteris | 冷蕨属 | 11
20903 | 114253 | Gymnocarpium | 羽节蕨属 | 5
10256 | 102426 | Araiostegia | 小膜盖蕨属 | 4
10256 | 109379 | Davallia | 骨碎补属 | 6
10256 | 115860 | Humata | 阴石蕨属 | 4
10256 | 123874 | Paradavallodes | 假钻毛蕨属 | 3
10262 | 109626 | Dennstaedtia | 碗蕨属 | 8
10262 | 115537 | Histiopteris | 栗蕨属 | 1
10262 | 116244 | Hypolepis | 姬蕨属 | 8
10262 | 120565 | Microlepia | 鳞盖蕨属 | 25
10262 | 120964 | Monachosorum | 稀子蕨属 | 3
10262 | 123662 | Paesia | 曲轴蕨属 | 1
10262 | 127416 | Pteridium | 蕨属 | 5
20902 | 110365 | Diplaziopsis | 肠蕨属 | 3
10283 | 106606 | Cheiropleuria | 燕尾蕨属 | 2
10283 | 110503 | Dipteris | 双扇蕨属 | 3
10291 | 102399 | Arachniodes | 复叶耳蕨属 | 40
10291 | 104183 | Bolbitis | 实蕨属 | 25
10291 | 108601 | Ctenitis | 肋毛蕨属 | 10
10291 | 109085 | Cyrtomium | 贯众属 | 31
10291 | 20906 | DRYOPTERIDACEAE subfam. DRYOPTERIDOIDEAE | 鳞毛蕨亚科 | 63
10291 | 20905 | DRYOPTERIDACEAE subfam. ELAPHOGLOSSOIDEAE | 舌蕨亚科 | 4
10291 | 110995 | Dryopteris | 鳞毛蕨属 | 193
10291 | 317834 | Dryopteris sect. Acrophorus | 鱼鳞鳞毛蕨组 | 7
10291 | 317830 | Dryopteris sect. Acrorumohra | 假复叶耳蕨组 | 3
10291 | 317822 | Dryopteris sect. Aemulae | 柄羽鳞毛蕨组 | 2
10291 | 317818 | Dryopteris sect. Caespitosae | 高山鳞毛蕨组 | 7
10291 | 317835 | Dryopteris sect. Diacalpe | 红腺鳞毛蕨组 | 8
10291 | 317831 | Dryopteris sect. Dryopsis | 轴鳞鳞毛蕨组 | 9
10291 | 317817 | Dryopteris sect. Dryopteris | 平鳞鳞毛蕨组 | 14
10291 | 317828 | Dryopteris sect. Erythrovariae | 泡鳞鳞毛蕨组 | 15
10291 | 317816 | Dryopteris sect. Fibrillosae | 纤维鳞毛蕨组 | 7
10291 | 317814 | Dryopteris sect. Hirtipedes | 毛柄鳞毛蕨组 | 22
10291 | 304032 | Dryopteris sect. Indusiatae | 黑鳞鳞毛蕨组 | 13
10291 | 317821 | Dryopteris sect. Lophodium | 长尾鳞毛蕨组 | 2
10291 | 317820 | Dryopteris sect. Marginatae | 边生鳞毛蕨组 | 7
10291 | 317826 | Dryopteris sect. Nephrocystis | 稀羽鳞毛蕨组 | 6
10291 | 317833 | Dryopteris sect. Nothoperanema | 肉刺鳞毛蕨组 | 5
10291 | 317819 | Dryopteris sect. Pallidae | 半育鳞毛蕨组 | 13
10291 | 317815 | Dryopteris sect. Pandae | 大果鳞毛蕨组 | 9
10291 | 317836 | Dryopteris sect. Peranema | 柄盖鳞毛蕨组 | 2
10291 | 317825 | Dryopteris sect. Purpurascentes | 紫色鳞毛蕨组 | 1
10291 | 317823 | Dryopteris sect. Remotae | 西域鳞毛蕨组 | 5
10291 | 317824 | Dryopteris sect. Splendentes | 华丽鳞毛蕨组 | 5
10291 | 317829 | Dryopteris sect. Variae | 变异鳞毛蕨组 | 12
10291 | 317813 | Dryopteris subg. Dryopteris | 平鳞亚属 | 113
10291 | 317827 | Dryopteris subg. Erythrovariae | 泡鳞亚属 | 57
10291 | 317832 | Dryopteris subg. Nothoperanema | 肉刺鳞毛蕨亚属 | 26
10291 | 317812 | Dryopteris subg. Pycnopteris | 奇羽亚属 | 7
10291 | 111389 | Elaphoglossum | 舌蕨属 | 6
10291 | 117705 | Lastreopsis | 节毛蕨属 | 3
10291 | 118827 | Lomagramma | 网藤蕨属 | 2
10291 | 126461 | Polystichum | 耳蕨属 | 239
10291 | 317842 | Polystichum sect. Achroloma | 白边耳蕨组 | 2
10291 | 317865 | Polystichum sect. Adenolepia | 假贯众耳蕨组 | 6
10291 | 317861 | Polystichum sect. Basigemmifera Zhang | 小芽胞耳蕨组 | 5
10291 | 317843 | Polystichum sect. Chingiarum | 秦氏耳蕨组 | 1
10291 | 317844 | Polystichum sect. Crinigera | 毛发耳蕨组 | 1
10291 | 317862 | Polystichum sect. Crucifilix | 戟叶耳蕨组 | 3
10291 | 317864 | Polystichum sect. Cyrtogonellum | 柳叶耳蕨组 | 6
10291 | 317859 | Polystichum sect. Cyrtomiopsis | 鞭叶耳蕨组 | 4
10291 | 317846 | Polystichum sect. Fimbriata | 流苏耳蕨组 | 1
10291 | 317867 | Polystichum sect. Haplopolystichum | 半羽耳蕨组 | 48
10291 | 317840 | Polystichum sect. Hecatoptera | 芒刺耳蕨组 | 1
10291 | 317851 | Polystichum sect. Hypopeltis | 后生耳蕨组 | 48
10291 | 317850 | Polystichum sect. Macropolystichum | 深绿耳蕨组 | 14
10291 | 317860 | Polystichum sect. Mastigopteris | 鞭果耳蕨组 | 2
10291 | 317848 | Polystichum sect. Micropolystichum | 小形耳蕨组 | 6
10291 | 317845 | Polystichum sect. Neopolystichum | 新生耳蕨组 | 4
10291 | 317866 | Polystichum sect. Platylepia | 宽轴鳞耳蕨组 | 2
10291 | 317838 | Polystichum sect. Polystichum | 耳蕨组 | 1
