genusid | id | name | namezh
102877 | 200004099 | Asplenium adiantum-nigrum | 黑色铁角蕨
102877 | 242305798 | Asplenium adnatum | 合生铁角蕨
102877 | 250038104 | Asplenium aethiopicum | 西南铁角蕨
102877 | 242305799 | Asplenium affine | 匙形铁角蕨
102877 | 242305800 | Asplenium aitchisonii | 西部铁角蕨
102877 | 242305801 | Asplenium altajense | 阿尔泰铁角蕨
102877 | 242305807 | Asplenium anogrammoides | 广布铁角蕨
102877 | 242305808 | Asplenium antiquum | 大鳞巢蕨
102877 | 242305809 | Asplenium antrophyoides | 狭翅巢蕨
102877 | 242305815 | Asplenium asterolepis | 黑鳞铁角蕨
102877 | 242305818 | Asplenium austrochinense | 华南铁角蕨
102877 | 200004107 | Asplenium bullatum | 大盖铁角蕨
102877 | 242305832 | Asplenium capillipes | 线柄铁角蕨
102877 | 250098327 | Asplenium castaneoviride | 东海铁角蕨
102877 | 250098322 | Asplenium caucasicum | 高加索铁角蕨
102877 | 250098329 | Asplenium ceterach | 药蕨
102877 | 200004113 | Asplenium coenobiale | 线裂铁角蕨
102877 | 250098344 | Asplenium cornutissimum | 壮乡铁角蕨
102877 | 200004114 | Asplenium crinicaule | 毛轴铁角蕨
102877 | 200004116 | Asplenium cuneatiforme | 乌来铁角蕨
102877 | 233500192 | Asplenium dalhousiae | 苍山蕨
102877 | 200004119 | Asplenium delavayi | 水鳖蕨
102877 | 250098337 | Asplenium dolomiticum | 圆叶铁角蕨
102877 | 200004122 | Asplenium ensiforme | 剑叶铁角蕨
102877 | 200004125 | Asplenium exiguum | 云南铁角蕨
102877 | 200004127 | Asplenium finlaysonianum | 网脉铁角蕨
102877 | 242305870 | Asplenium formosae | 南海铁角蕨
102877 | 242305873 | Asplenium fugax | 易变铁角蕨
102877 | 250098331 | Asplenium glanduliserrulatum | 腺齿铁角蕨
102877 | 200004131 | Asplenium griffithianum | 厚叶铁角蕨
102877 | 242412250 | Asplenium gueinzianum | 撕裂铁角蕨
102877 | 242305883 | Asplenium hainanense | 海南铁角蕨
102877 | 242305891 | Asplenium holosorum | 江南铁角蕨
102877 | 250098324 | Asplenium humbertii | 扁柄巢蕨
102877 | 200004132 | Asplenium humistratum | 肾羽铁角蕨
102877 | 200004133 | Asplenium incisum | 虎尾铁角蕨
102877 | 242305893 | Asplenium indicum | 胎生铁角蕨
102877 | 242305894 | Asplenium interjectum | 贵阳铁角蕨
102877 | 200004134 | Asplenium kansuense | 甘肃铁角蕨
102877 | 200004135 | Asplenium kiangsuense | 江苏铁角蕨
102877 | 250098323 | Asplenium komarovii | 对开蕨
102877 | 250098343 | Asplenium kukkonenii | 西疆铁角蕨
102877 | 250098332 | Asplenium lepturus | 热带铁角蕨
102877 | 242305923 | Asplenium lushanense | 泸山铁角蕨
102877 | 250098342 | Asplenium mae | 内蒙铁角蕨
102877 | 250098328 | Asplenium magnificum | 大叶苍山蕨
102877 | 242305931 | Asplenium matsumurae | 兰屿铁角蕨
102877 | 242305937 | Asplenium microtum | 滇南铁角蕨
102877 | 242305947 | Asplenium neovarians | 朗木铁角蕨
102877 | 200004148 | Asplenium nesii | 西北铁角蕨
102877 | 242305949 | Asplenium nidus | 巢蕨
102877 | 200004149 | Asplenium normale | 倒挂铁角蕨
102877 | 250098325 | Asplenium oblanceolatum | 黑鳞巢蕨
102877 | 250098333 | Asplenium oldhamii | 东南铁角蕨
102877 | 242305963 | Asplenium paucivenosum | 疏脉苍山蕨
102877 | 200004153 | Asplenium pekinense | 北京铁角蕨
102877 | 242305968 | Asplenium phyllitidis | 长叶巢蕨
102877 | 242412252 | Asplenium polyodon | 镰叶铁角蕨
102877 | 200004157 | Asplenium prolongatum | 长叶铁角蕨
102877 | 200004158 | Asplenium pseudolaserpitiifolium | 假大羽铁角蕨
102877 | 242305984 | Asplenium pseudopraemorsum | 斜裂铁角蕨
102877 | 200004159 | Asplenium pulcherrimum | 叶基宽铁角蕨
102877 | 242305990 | Asplenium qiujiangense | 俅江苍山蕨
102877 | 250098330 | Asplenium quadrivalens | 四倍体铁角蕨
102877 | 200004164 | Asplenium ritoense | 骨碎补铁角蕨
102877 | 250098334 | Asplenium rockii | 瑞丽铁角蕨
102877 | 250098326 | Asplenium ruprechtii | 过山蕨
102877 | 200004165 | Asplenium ruta-muraria | 卵叶铁角蕨
102877 | 250098345 | Asplenium sampsonii | 岭南铁角蕨
102877 | 200004167 | Asplenium sarelii | 华中铁角蕨
102877 | 200004168 | Asplenium saxicola | 石生铁角蕨
102877 | 200004169 | Asplenium scortechinii | 狭叶铁角蕨
102877 | 250098341 | Asplenium semivarians | 近变异铁角蕨
102877 | 200004170 | Asplenium septentrionale | 叉叶铁角蕨
102877 | 242306026 | Asplenium speluncae | 黑边铁角蕨
102877 | 242306035 | Asplenium sublaserpitiifolium | 拟大羽铁角蕨
102877 | 250098335 | Asplenium subspathulinum | 俅江铁角蕨
102877 | 200004175 | Asplenium tenerum | 膜连铁角蕨
102877 | 200004176 | Asplenium tenuicaule | 细茎铁角蕨
102877 | 200004177 | Asplenium tenuifolium | 细裂铁角蕨
102877 | 242306063 | Asplenium trapezoideum | 蒙自铁角蕨
102877 | 200004180 | Asplenium trichomanes | 铁角蕨
102877 | 250098346 | Asplenium trigonopterum | 台南铁角蕨
102877 | 242306066 | Asplenium tripteropus | 三翅铁角蕨
102877 | 200004182 | Asplenium varians | 变异铁角蕨
102877 | 200004183 | Asplenium viride | 欧亚铁角蕨
102877 | 200004186 | Asplenium wilfordii | 闽浙铁角蕨
102877 | 200004187 | Asplenium wrightii | 狭翅铁角蕨
102877 | 200004191 | Asplenium yoshinagae | 棕鳞铁角蕨
116074 | 250098354 | Hymenasplenium adiantifrons | 阿里山膜叶铁角蕨
116074 | 250098359 | Hymenasplenium apogamum | 无配膜叶铁角蕨
116074 | 250098347 | Hymenasplenium cardiophyllum | 细辛膜叶铁角蕨
116074 | 250098355 | Hymenasplenium changputungense | 贡山膜叶铁角蕨
116074 | 242325814 | Hymenasplenium cheilosorum | 齿果膜叶铁角蕨
116074 | 250098360 | Hymenasplenium excisum | 切边膜叶铁角蕨
116074 | 250098350 | Hymenasplenium furfuraceum | 绒毛膜叶铁角蕨
116074 | 250098358 | Hymenasplenium hondoense | 东亚膜叶铁角蕨
116074 | 250098352 | Hymenasplenium latidens | 阔齿膜叶铁角蕨
116074 | 250098357 | Hymenasplenium murakami-hatanakae | 单边膜叶铁角蕨
116074 | 250098361 | Hymenasplenium obliquissimum | 荫湿膜叶铁角蕨
116074 | 242325815 | Hymenasplenium obscurum | 绿杆膜叶铁角蕨
116074 | 250098362 | Hymenasplenium pseudobscurum | 尖峰岭膜叶铁角蕨
116074 | 250098353 | Hymenasplenium quercicola | 镇康膜叶铁角蕨
116074 | 250098349 | Hymenasplenium retusulum | 微凹膜叶铁角蕨
116074 | 250098356 | Hymenasplenium subnormale | 小膜叶铁角蕨
116074 | 250098351 | Hymenasplenium szechuanense | 天全膜叶铁角蕨
116074 | 250098348 | Hymenasplenium wuliangshanense | 无量山膜叶铁角蕨
101818 | 200003733 | Anisocampium cumingianum | 安蕨
101818 | 250098524 | Anisocampium cuspidatum | 拟鳞毛安蕨
101818 | 250098523 | Anisocampium niponicum | 日本安蕨
101818 | 200003734 | Anisocampium sheareri | 华东安蕨
103074 | 200003746 | Athyrium adpressum | 金平蹄盖蕨
103074 | 242306935 | Athyrium adscendens | 斜羽蹄盖蕨
103074 | 200003748 | Athyrium anisopterum | 宿蹄盖蕨
103074 | 200003749 | Athyrium araiostegioides | 鹿角蹄盖蕨
103074 | 200003750 | Athyrium arisanense | 阿里山蹄盖蕨
103074 | 242306947 | Athyrium atkinsonii | 大叶假冷蕨
103074 | 200003752 | Athyrium attenuatum | 剑叶蹄盖蕨
103074 | 250098545 | Athyrium atuntzeense | 阿墩子假冷蕨
103074 | 200003753 | Athyrium austro-orientale | 藏东南蹄盖蕨
103074 | 242306953 | Athyrium baishanzuense | 百山祖蹄盖蕨
103074 | 242306955 | Athyrium baoxingense | 宝兴蹄盖蕨
103074 | 242306961 | Athyrium biserrulatum | 苍山蹄盖蕨
103074 | 200003756 | Athyrium bomicola | 波密蹄盖蕨
103074 | 200003757 | Athyrium brevifrons | 东北蹄盖蕨
103074 | 200003758 | Athyrium brevisorum | 中缅蹄盖蕨
103074 | 242306963 | Athyrium brevistipes | 短柄蹄盖蕨
103074 | 200003759 | Athyrium bucahwangense | 圆果蹄盖蕨
103074 | 242306965 | Athyrium caudatum | 尾羽蹄盖蕨
103074 | 242306966 | Athyrium caudiforme | 长尾蹄盖蕨
103074 | 200003761 | Athyrium chingianum | 秦氏蹄盖蕨
103074 | 200003762 | Athyrium christensenii | 中越蹄盖蕨
103074 | 242306970 | Athyrium chungtienense | 中甸蹄盖蕨
103074 | 200003763 | Athyrium clarkei | 芽胞蹄盖蕨
103074 | 200003764 | Athyrium clivicola | 坡生蹄盖蕨
103074 | 242306975 | Athyrium contingens | 短羽蹄盖蕨
103074 | 242306978 | Athyrium costulalisorum | 川西蹄盖蕨
103074 | 242306979 | Athyrium crassipes | 粗柄蹄盖蕨
103074 | 200003765 | Athyrium criticum | 蒿坪蹄盖蕨
103074 | 200003766 | Athyrium cryptogrammoides | 合欢山蹄盖蕨
103074 | 250098546 | Athyrium davidii | 大卫假冷蕨
103074 | 242306988 | Athyrium daxianglingense | 大相岭蹄盖蕨
103074 | 242306990 | Athyrium decorum | 林光蹄盖蕨
103074 | 200003767 | Athyrium delavayi | 翅轴蹄盖蕨
103074 | 200003768 | Athyrium delicatulum | 薄叶蹄盖蕨
103074 | 242306994 | Athyrium deltoidofrons | 溪边蹄盖蕨
