speciesid | content
200004099 | 黑色铁角蕨 hei se tie jiao jue 
200004099 | Asplenium adiantum-nigrum subsp. yuanum (Ching) Reichstein et al.; A. adiantum-nigrum var. yuanum (Ching) Ching; A. yuanum Ching.
200004099 | Plants 15-40 cm tall. Rhizome ascending, apex scaly; scales dark brown, narrowly triangular, up to 6 mm, hairlike in upper half, without black middle stripe, entire. Fronds caespitose; stipe 8-15(-20) cm, base conspicuously swollen, thickened, semiterete, abaxially shiny castaneous to blackish purple, with scattered brownish black hairlike scales or subglabrous, adaxially sulcate; lamina triangular-ovate, 9-25 × 4-6(-10) cm, apex acute to acuminate, tripinnate; pinnae 8-13 pairs, alternate, stalked, basal pair largest, triangular, 4-6 × 1.8-2.4 cm, base truncate, bipinnate, apex acute to acuminate; pinnules 5-8 pairs, anadromous, basal pairs largest, triangular, 1.5-3.2 × 0.6-1 cm, base cuneate-truncate, shortly stalked or subsessile, pinnate, apex acute; ultimate pinnules 4-6 pairs, alternate, anadromous, basal pair largest, elliptic to oblong or linear, 5-7 × 2.5-3.5 mm, margin serrate, apex obtuse. Costa obvious, sulcate adaxially, veins obscure, anadromously branching, simple or 2-forked, not reaching margin. Fronds firmly herbaceous to papery, green but brown-green when dry, lamina with 4- or 5-celled, uniseriate hairs, average stomatal guard cell length 54-60 µm; rachis semiterete, lower half abaxially usually shiny castaneous to dark brown, apical part green or stramineous, adaxially sulcate. Sori 1-3(or 4) pairs per pinnule or segment, median on subtending veinlet, confluent at maturity, linear, 1-2.5(-5) mm; indusia white or brownish, linear, membranous, repand to entire, opening toward costa or costule. Spores brown to dark brown, perispore lophate (cristate-alate), with average exospore length 32-37 µm. Plants sexual allotetraploids: 2n = 144.
200004099 | On rocks or on forest floor near streams; 2000-3000 m. Shaanxi, Taiwan, E Xizang, NW Yunnan [Afghanistan, N India, Pakistan; Europe (Mediterranean to SW Asia), W North America].
200004099 | Asplenium adiantum-nigrum, an allotetraploid species that originated via chromosome doubling in a hybrid (A. ×ligusticum Bernardello et al.) between A. cuneifolium Viviani and A. onopteris Linnaeus, is unrelated to the distantly similar A. interjectum. Asplenium adiantum-nigrum differs by the thickened stipe base (trophopod) and the less deltoid lamina.
242305798 | 合生铁角蕨 he sheng tie jiao jue 
242305798 | Plants ca. 30 cm tall. Rhizome erect, short, scaly; scales dark brown to black, narrowly triangular, entire. Fronds caespitose; stipe dull, dark grayish brown, 10-15 cm, with many dark brown, narrowly triangular to linear, fimbriate scales; lamina linear, 15-20 × ca. 3 cm, base truncate and slightly reduced, pinnatisect, apex acute; segments 15-18 pairs, lower segments opposite, upper ones subopposite to alternate, middle pinnae 1.5-2 × 0.5-0.8 cm, narrowly ovate to elliptic, base adnate to rachis, upper segments connected by narrow wing, margin repand to sinuate, apex obtuse. Costa and veins obscure, veins simple or forked, reaching to margin. Fronds herbaceous, greenish brown when dry, abaxially with small hastate-fimbriate scales; rachis dark brown, with many narrowly triangular to linear fimbriate scales. Sori 3 or 4 per pinna, linear, 4-8 mm, approximately median on subtending vein; indusia linear, margin entire, opening toward costa, persistent.
242305798 | ● Guangdong (only known from the type).
242305798 | Asplenium adnatum has scales similar to those of A. crinicaule but has adnate and obtuse pinnae. It is probably either a hybrid or an allopolyploid taxon derived from that species.
250038104 | 西南铁角蕨 xi nan tie jiao jue 
250038104 | Trichomanes aethiopicum N. L. Burman, Fl. Indica, 28. 1768; Asplenium adiantoides Lamarck; A. denticulatum Blume; A. furcatum Thunberg; A. praemorsum Swartz; Tarachia furcata (Thunberg) C. Presl.
250038104 | Plants 25-45 cm tall. Rhizome short, erect to shortly creeping, scaly; scales dark reddish brown to black, narrowly triangular with a long filiform apical tail. Fronds caespitose; stipe 5-15(-22) cm, adaxially grayish green and sulcate, abaxially dark brown to black, with many reddish to dark brown, narrowly triangular scales with a long filiform apex; lamina narrowly ovate to narrowly triangular, 10-28 × 4.5-8 cm, apex acuminate, pinnate-pinnatifid to 2-pinnate; pinnae 10-15 pairs, subopposite or alternate, lower 1 or 2 pairs slightly reduced, subsessile, trullate-rhomboid with 1 or 2 (almost) free pinnules at base, 2.5-4.5 × 1-2.5 cm, base asymmetrical, broadly cuneate, apex acuminate; pinnules 2-4 pairs, obtrullate-elliptic or subflabellate, 4-12 × 2-5 mm, margin dentate, lateral sides entire, apex obtuse. Venation subflabellate, obvious abaxially, veins slender and forked, not reaching margin, costa grooved adaxially. Fronds leathery, adaxially dark green when dry and often grooved, abaxially brownish green, with reddish brown, fibrillose scales, subglabrous when old; rachis green but often becoming dark toward base abaxially, adaxially sulcate and densely scaly with fibrillose scales. Sori 2-5 per segment, linear, 3-8 mm, median on subtending veins; indusia grayish yellow, linear, membranous, entire, opening toward major veins or to costa, persistent. Plants polyploid, sexual or agamosporous.
250038104 | On rocks in mixed forests; 1000-2600 m. Hunan, Jiangxi, Sichuan, Yunnan [India, Indonesia, Malaysia, Myanmar, Philippines, Thailand, Vietnam; tropical Africa, tropical America, Australia, Macaronesia, Pacific islands (Hawaii)].
250038104 | Asplenium aethiopicum is a morphologically, ecologically, and karyologically very variable aggregate for which we prefer to use the oldest available epithet. Braithwaite (Cytotax. Invest. Asplenium aethiopicum Complex Africa, Ph.D. Thesis, University of Leeds. 1964; Bot. J. Linn. Soc. 93: 348-378. 1986), Panigrahi (Phytologia 31: 251-258. 1975), Manton et al. (Bull. Brit. Mus. (Nat. Hist.), Bot. 15: 123-161. 1986), and Ormonde (Bol. Mus. Munic. Funchal 43: 177-189. 1991; Acta Bot. Malac. 16: 293-315. 1991) have shown that A. aethiopicum s.l. is an aggregate of at least three sexual (A. aethiopicum subsp. tripinnatum (Baker) A. F. Braithwaite (4x), A. aethiopicum subsp. aethiopicum (8x), and A. aethiopicum subsp. dodecaploideum A. F. Braithwaite (12x)) and up to five apomictic taxa. Most of these cytotypes are common in Africa, but sexual tetraploids and dodecaploids are also known from Asia and America, where Swartzs name, A. praemorsum, is used for the aggregate. Besides differing in chromosome number and pairing behavior, the members of this aggregate can also be separated on the basis of their exospore size. The agamosporous taxa can be distinguished from the sexual by the length/width ratio of their spores: agamosporous taxa have subglobose spores with a ratio smaller than 1.4, sexual taxa have reniform to plano-convex spores with a ratio larger than 1.4. Based on Braithwaites (Bot. J. Linn. Soc. 93: 343-378. 1986) key, Chinese specimens are probably sexual A. aethiopicum subsp. dodecaploideum but need cytological confirmation. We found hybrids with A. austrochinense in Jiangxi.
242305799 | 匙形铁角蕨 shi xing tie jiao jue 
242305799 | Asplenium spathulinum J. Smith ex Hooker (1860), not Kunze (1848).
