familyid | genusid | latinname | namezh | lowertaxa
10507 | 135314 | Zigadenus | 棋盘花属 | 1
10510 | 101808 | Anisadenia | 异腺草属 | 2
10510 | 118675 | Linum | 亚麻属 | 9
10510 | 128110 | Reinwardtia | 石海椒属 | 1
10510 | 133050 | Tirpitzia | 青篱柴属 | 2
20472 | 100018 | Abelia | 糯米条属 | 5
20472 | 317598 | Diabelia | 双六道木属 | 2
20472 | 110317 | Dipelta | 双盾木属 | 3
20472 | 117217 | Kolkwitzia | 蝟实属 | 1
20472 | 118652 | Linnaea | 北极花属 | 1
20472 | 135239 | Zabelia | 六道木属 | 3
10515 | 201209 | Buddleja | 醉鱼草属 | 22
10515 | 112621 | Fagraea | 灰莉属 | 1
10515 | 113262 | Gardneria | 蓬莱葛属 | 5
10515 | 113391 | Gelsemium | 断肠草属 | 1
10515 | 113409 | Geniostoma | 髯管花 | 1
10515 | 120832 | Mitrasacme | 尖帽花属 | 5
10515 | 120839 | Mitreola | 度量草属 | 4
10515 | 131802 | Strychnos | 马钱子属 | 13
10520 | 109588 | Dendrophthoe | 五蕊寄生属 | 1
10520 | 111519 | Elytranthe | 大苞鞘花属 | 2
10520 | 114928 | Helixanthera | 离瓣寄生属 | 7
10520 | 118960 | Loranthus | 桑寄生属 | 6
10520 | 119396 | Macrosolen | 鞘花属 | 5
10520 | 129908 | Scurrula | 梨果寄生属 | 16
10520 | 132349 | Taxillus | 钝果寄生属 | 31
10520 | 133097 | Tolypanthus | 大苞寄生属 | 2
10521 | 123067 | Orchidantha | 兰花蕉属 | 4
10529 | 101366 | Ammannia | 水苋菜属 | 4
10529 | 111003 | Duabanga | 八宝树属 | 2
10529 | 117489 | Lagerstroemia | 紫薇属 | 16
10529 | 119221 | Lythrum | 千屈菜属 | 2
10529 | 124331 | Pemphis | 水芫花属 | 1
10529 | 124472 | Peplis | 荸艾属 | 1
10529 | 127653 | Punica | 石榴属 | 1
10529 | 128789 | Rotala | 节节菜属 | 10
10529 | 130690 | Sonneratia | 海桑属 | 6
10529 | 134970 | Woodfordia | 虾子花属 | 1
10530 | 100968 | Alcimandra | 长蕊木兰属 | 1
10530 | 317304 | Houpoëa | 厚朴属 | 3
10530 | 118706 | Lirianthe | 长喙木兰属 | 10
10530 | 118707 | Liriodendron | 鹅掌楸属 | 1
10530 | 119452 | Magnolia | 木兰属 | 2
10530 | 119610 | Manglietia | 木莲属 | 32
10530 | 120458 | Michelia | 含笑属 | 50
10530 | 317301 | Oyama | 天女花属 | 4
10530 | 123590 | Pachylarnax | 厚壁木属 | 1
10530 | 123911 | Parakmeria | 拟单性木兰属 | 5
10530 | 132234 | Talauma | 盖裂木属 | 1
10530 | 202599 | Woonyoungia | 焕镛木属 | 1
10530 | 135227 | Yulania | 玉兰属 | 20
10533 | 102865 | Aspidopterys | 盾翅藤属 | 11
10533 | 115520 | Hiptage | 风筝果属 | 14
10533 | 200179 | Ryssopterys | 翅实藤属 | 1
10533 | 133800 | Tristellateia | 三星果属 | 1
10534 | 100020 | Abelmoschus | 秋葵属 | 8
10534 | 100054 | Abutilon | 苘麻属 | 15
10534 | 100963 | Alcea | 蜀葵属 | 2
10534 | 101219 | Althaea | 药葵属 | 1
10534 | 106005 | Cenocentrum | 大萼葵属 | 1
10534 | 109434 | Decaschistia | 十裂葵属 | 3
10534 | 113948 | Gossypium | 棉属 | 8
10534 | 115162 | Herissantia | 泡果苘属 | 1
10534 | 115438 | Hibiscus | 木槿属 | 29
10534 | 117356 | Kydia | 翅果麻属 | 4
10534 | 117757 | Lavatera | 花葵属 | 1
10534 | 119571 | Malva | 锦葵属 | 6
10534 | 119573 | Malvastrum | 赛葵属 | 2
10534 | 119574 | Malvaviscus | 悬铃花属 | 2
10534 | 314455 | Nayariophyton | 枣叶槿属 | 1
10534 | 130307 | Sida | 黄花稔属 | 18
10534 | 132809 | Thespesia | 桐棉属 | 2
10534 | 134202 | Urena | 梵天花属 | 10
10534 | 134943 | Wissadula | 隔蒴苘属 | 1
10535 | 110794 | Donax | 竹叶蕉属 | 1
10535 | 119663 | Maranta | 竹芋属 | 1
10535 | 125146 | Phrynium | 柊叶属 | 5
10535 | 131152 | Stachyphrynium | 穗花柊叶属 | 1
10540 | 119786 | Martynia | 角胡麻属 | 1
20180 | 110440 | Diplopanax | 马蹄参属 | 1
20180 | 119839 | Mastixia | 单室茱萸属 | 6
10554 | 101112 | Allomorphia | 异形木属 | 4
10554 | 103004 | Astronia | 褐鳞木属 | 1
10554 | 103548 | Barthea | 棱果花属 | 3
10554 | 104051 | Blastus | 柏拉木属 | 9
10554 | 104579 | Bredia | 野海棠属 | 11
10554 | 109042 | Cyphotheca | 药囊花属 | 1
10554 | 110369 | Diplectria | 藤牡丹属 | 1
10554 | 112929 | Fordiophyton | 异药花属 | 10
10554 | 119951 | Medinilla | 酸脚杆属 | 11
10554 | 120122 | Melastoma | 野牡丹属 | 7
10554 | 120207 | Memecylon | 谷木属 | 14
10554 | 123317 | Osbeckia | 金锦香属 | 9
10554 | 123525 | Oxyspora | 尖子木属 | 6
10554 | 125172 | Phyllagathis | 锦香草属 | 28
10554 | 125699 | Plagiopetalum | 偏瓣花属 | 2
10554 | 129247 | Sarcopyramis | 肉穗草属 | 2
10554 | 129888 | Scorpiothyrsus | 卷花丹属 | 3
10554 | 130688 | Sonerila | 蜂斗草属 | 6
10554 | 131105 | Sporoxeia | 八蕊花属 | 2
10554 | 131862 | Styrophyton | 长穗花属 | 1
10554 | 200097 | Tigridiopalma | 虎颜花属 | 1
10555 | 100813 | Aglaia | 米仔兰属 | 8
10555 | 102185 | Aphanamixis | 山楝属 | 1
10555 | 105974 | Cedrela | 洋椿属 | 1
10555 | 106736 | Chisocheton | 溪桫属 | 1
10555 | 107027 | Chukrasia | 麻楝属 | 1
10555 | 107120 | Cipadessa | 浆果楝属 | 1
10555 | 111139 | Dysoxylum | 木属 | 11
10555 | 115430 | Heynea | 鹧鸪花属 | 2
10555 | 117082 | Khaya | 非洲楝属 | 1
10555 | 120129 | Melia | 楝属 | 1
10555 | 121317 | Munronia | 地黄连属 | 3
10555 | 128111 | Reinwardtiodendron | 雷楝属 | 1
10555 | 131948 | Swietenia | 桃花心木属 | 1
10555 | 133129 | Toona | 香椿属 | 5
10555 | 134014 | Turraea | 杜楝属 | 1
10555 | 134746 | Walsura | 割舌树属 | 2
10555 | 135155 | Xylocarpus | 木果楝属 | 1
10561 | 100942 | Albertisia | 崖藤属 | 1
10561 | 102449 | Arcangelisia | 古山龙属 | 1
10561 | 102860 | Aspidocarya | 球果藤属 | 1
10561 | 107144 | Cissampelos | 锡生藤属 | 1
10561 | 107477 | Cocculus | 木防己属 | 4
10561 | 108827 | Cyclea | 轮环藤属 | 15
10561 | 110394 | Diploclisia | 秤钩风属 | 2
10561 | 111434 | Eleutharrhena | 藤枣属 | 1
10561 | 112759 | Fibraurea | 天仙藤属 | 1
10561 | 116270 | Hypserpa | 夜花藤属 | 1
10561 | 120237 | Menispermum | 蝙蝠葛属 | 1
10561 | 123586 | Pachygone | 粉绿藤属 | 3
10561 | 123833 | Parabaena | 连蕊藤属 | 1
10561 | 124521 | Pericampylus | 细圆藤属 | 1
10561 | 127684 | Pycnarrhena | 密花藤属 | 2
10561 | 130431 | Sinomenium | 风龙属 | 1
10561 | 131433 | Stephania | 千斤藤属 | 42
10561 | 133037 | Tinomiscium | 大叶藤属 | 1
10561 | 133039 | Tinospora | 青牛胆属 | 9
10562 | 120253 | Menyanthes | 睡菜属 | 1
10562 | 122533 | Nymphoides | 荇菜属 | 7
20193 | 113578 | Gisekia | 吉粟草属 | 2
20193 | 113632 | Glinus | 星粟草属 | 2
20193 | 120942 | Mollugo | 粟米草属 | 4
10583 | 102076 | Antiaris | 见血封喉属 | 1
10583 | 102731 | Artocarpus | 波罗蜜属 | 16
10583 | 104684 | Broussonetia | 构属 | 4
