familyid | genusid | latinname | namezh | lowertaxa
10002 | 100149 | Acanthus | 老鼠簕属 | 3
10002 | 101685 | Andrographis | 穿心莲属 | 2
10002 | 103025 | Asystasia | 十万错属 | 6
10002 | 103517 | Barleria | 假杜鹃属 | 4
10002 | 104077 | Blepharis | 百簕花属 | 1
10002 | 106927 | Chroesthes | 色萼花属 | 1
10002 | 107351 | Clinacanthus | 鳄嘴花属 | 1
10002 | 107525 | Codonacanthus | 钟花草属 | 1
10002 | 108143 | Cosmianthemum | 秋英爵床属 | 3
10002 | 109107 | Cystacanthus | 鳔冠花属 | 8
10002 | 109954 | Dicliptera | 狗肝菜属 | 4
10002 | 111202 | Echinacanthus | 恋岩花属 | 3
10002 | 111901 | Eranthemum | 可爱花属 | 4
10002 | 114314 | Gymnostachyum | 裸柱草属 | 3
10002 | 116043 | Hygrophila | 水蓑衣属 | 8
10002 | 116236 | Hypoestes | 枪刀药属 | 3
10002 | 116583 | Isoglossa | 叉序草属 | 2
10002 | 116893 | Justicia | 爵床属 | 43
10002 | 117307 | Kudoacanthus | 银脉爵床属 | 1
10002 | 118024 | Lepidagathis | 鳞花草属 | 7
10002 | 118261 | Leptostachya | 纤穗爵床属 | 1
10002 | 119266 | Mackaya | 太平爵床属 | 1
10002 | 121797 | Nelsonia | 瘤子草属 | 1
10002 | 122997 | Ophiorrhiziphyllon | 蛇根叶属 | 1
10002 | 123991 | Pararuellia | 地皮消属 | 5
10002 | 124587 | Peristrophe | 观音草属 | 10
10002 | 124929 | Phaulopsis | 肾苞草属 | 1
10002 | 125051 | Phlogacanthus | 火焰花属 | 2
10002 | 126943 | Pseuderanthemum | 山壳骨属 | 7
10002 | 128303 | Rhinacanthus | 灵枝草属 | 2
10002 | 128847 | Ruellia | 芦莉草属 | 4
10002 | 128875 | Rungia | 孩儿草属 | 16
10002 | 131222 | Staurogyne | 叉柱花属 | 17
10002 | 131740 | Strobilanthes | 马蓝属 | 135
10002 | 132906 | Thunbergia | 山牵牛属 | 6
10005 | 100167 | Acer | 枫属 | 161
10005 | 110509 | Dipteronia | 金钱枫属 | 2
20008 | 100307 | Acorus | 菖蒲属 | 2
10011 | 100431 | Actinidia | 猕猴桃属 | 87
10011 | 107314 | Clematoclethra | 藤山柳属 | 5
10011 | 129331 | Saurauia | 水东哥属 | 19
10015 | 100629 | Adoxa | 五福花属 | 3
10015 | 129102 | Sambucus | 接骨木属 | 4
10015 | 130393 | Sinadoxa | 华福花属 | 1
10015 | 134551 | Viburnum | 荚蒾属 | 115
10020 | 130212 | Sesuvium | 海马齿属 | 1
10020 | 132571 | Tetragonia | 番杏属 | 1
10020 | 133376 | Trianthema | 假海马齿属 | 1
10022 | 100931 | Alangium | 八角枫属 | 22
10025 | 101042 | Alisma | 泽泻属 | 6
10025 | 104916 | Butomopsis | 拟花蔺属 | 1
10025 | 105055 | Caldesia | 泽薹草属 | 2
10025 | 118588 | Limnocharis | 黄花蔺属 | 1
10025 | 127963 | Ranalisma | 毛茛泽泻属 | 1
10025 | 129016 | Sagittaria | 慈姑属 | 9
10031 | 100227 | Achyranthes | 牛膝属 | 9
10031 | 100701 | Aerva | 白花苋属 | 2
10031 | 101087 | Allmania | 砂苋属 | 1
10031 | 101216 | Alternanthera | 莲子草属 | 5
10031 | 101257 | Amaranthus | 苋属 | 17
10031 | 105991 | Celosia | 青葙属 | 3
10031 | 108808 | Cyathula | 杯苋属 | 4
10031 | 109463 | Deeringia | 浆果苋属 | 2
10031 | 113845 | Gomphrena | 千日红属 | 2
10031 | 116495 | Iresine | 血苋属 | 1
10031 | 125014 | Philoxerus | 安旱苋属 | 1
10031 | 127360 | Psilotrichopsis | 青花苋属 | 1
10031 | 127361 | Psilotrichum | 林地苋属 | 5
10031 | 131566 | Stilbanthus | 巨苋藤属 | 1
10031 | 202777 | TRICHURIELLA | 针叶苋属 | 1
10032 | 100088 | Acanthochlamys | 芒苞草属 | 1
10032 | 100796 | Agave | 龙舌兰属 | 2
10032 | 108369 | Crinum | 文殊兰属 | 2
10032 | 108705 | Curculigo | 仙茅属 | 7
10032 | 116263 | Hypoxis | 小金梅草属 | 1
10032 | 116676 | Ixiolirion | 鸢尾蒜属 | 4
10032 | 119162 | Lycoris | 石蒜属 | 17
10032 | 121652 | Narcissus | 水仙属 | 1
10032 | 123742 | Pancratium | 全能花属 | 1
10032 | 135293 | Zephyranthes | 葱莲属 | 2
