genusid | speciesid | latinname | namezh
110891 | 200019566 | Dracocephalum argunense | 光萼青兰
110891 | 200019567 | Dracocephalum bipinnatum | 羽叶枝子花
110891 | 200019570 | Dracocephalum breviflorum | 短花枝子花
110891 | 200019571 | Dracocephalum bullatum | 皱叶毛建草
110891 | 200019572 | Dracocephalum calophyllum | 美叶青兰
110891 | 200019573 | Dracocephalum forrestii | 松叶青兰
110891 | 210000479 | Dracocephalum fruticulosum | 线叶青兰
110891 | 200019574 | Dracocephalum grandiflorum | 大花毛建草
110891 | 200019575 | Dracocephalum heterophyllum | 白花枝子花
110891 | 210000480 | Dracocephalum hoboksarensis | 和布克塞尔青兰
110891 | 200019576 | Dracocephalum hookeri | 长齿青兰
110891 | 200019577 | Dracocephalum imberbe | 无髭毛建草
110891 | 200019578 | Dracocephalum imbricatum | 覆苞毛建草
110891 | 200019579 | Dracocephalum integrifolium | 全缘叶青兰
110891 | 200019580 | Dracocephalum isabellae | 白萼青兰
110891 | 200019581 | Dracocephalum microflorum | 小花毛建草
110891 | 200019582 | Dracocephalum moldavica | 香青兰
110891 | 200019583 | Dracocephalum nodulosum | 多节青兰
110891 | 200019584 | Dracocephalum nutans | 垂花青兰
110891 | 200019585 | Dracocephalum origanoides | 铺地青兰
110891 | 200019586 | Dracocephalum palmatoides | 掌叶青兰
110891 | 200019587 | Dracocephalum paulsenii | 宽齿青兰
110891 | 200019588 | Dracocephalum peregrinum | 刺齿枝子花
110891 | 200019589 | Dracocephalum propinquum | 多枝青兰
110891 | 200019590 | Dracocephalum psammophilum | 沙地青兰
110891 | 200019591 | Dracocephalum purdomii | 岷山毛建草
110891 | 200019592 | Dracocephalum rigidulum | 微硬毛建草
110891 | 200019593 | Dracocephalum rupestre | 毛建草
110891 | 200019594 | Dracocephalum ruyschiana | 青兰
110891 | 210000481 | Dracocephalum stamineum | 长蕊青兰
110891 | 200019595 | Dracocephalum taliense | 大理青兰
110891 | 200019596 | Dracocephalum tanguticum | 甘青青兰
110891 | 200019597 | Dracocephalum tanguticum var. cinereum | 灰毛
110891 | 200019598 | Dracocephalum tanguticum var. nanum | 矮生
110891 | 210000482 | Dracocephalum tanguticum var. tanguticum | 甘青青兰
110891 | 200019599 | Dracocephalum truncatum | 截萼毛建草
110891 | 200019600 | Dracocephalum velutinum | 绒叶毛建草
